A749    1 07998 
A750    1 080   
A751    1 0811  
A752    1 0810  
A753    1 0812  
A759    1 0819  
A770    1 0820  
A771    1 0821  
A772    1 0822  
A773    1 0823  
A7740   1 08240 
A7741   1 08241 
A7749   1 08249 
A778    1 0828  
A779    1 0820  
A78     1 0830  
A790    1 0831  
A791    1 0832  
A7981   1 0838  
A7989   1 0838  
A799    1 0839  
A800    1 04510 
A801    1 04510 
A802    1 04510 
A8030   1 04510 
A8039   1 04510 
A804    1 04520 
A809    1 04590 
A8100   1 04619 
A8101   1 04611 
A8109   1 04619 
A811    1 0462  
A812    1 0463  
A8181   1 0460  
A8182   1 04671 
A8183   1 04672 
A8189   1 0468  
A819    1 0469  
A820    1 071   
A821    1 071   
A829    1 071   
A830    1 0620  
A831    1 0621  
A832    1 0622  
A833    1 0623  
A834    1 0624  
A835    1 0625  
A836    1 0628  
A838    1 0628  
A839    1 0629  
A840    1 0630  
A841    1 0632  
A848    1 0638  
A849    1 0639  
A850    1 0498  
A851    1 0498  
A852    1 064   
A858    1 0498  
A86     1 0499  
A870    1 0478  
A871    1 0491  
A872    1 0490  
A878    1 0478  
A879    1 0479  
A880    1 048   
A881    1 07881 
A888    1 0498  
A89     1 0499  
A90     1 061   
A91     1 0654  
A920    1 0654  
A921    1 0663  
A922    1 0662  
A9230   1 06640 
A9231   1 06641 
A9232   1 06642 
A9239   1 06649 
A924    1 0663  
A928    1 0663  
A929    1 0669  
A930    1 0663  
A931    1 0660  
A932    1 0661  
A938    1 0668  
A94     1 0669  
A950    1 0600  
A951    1 0601  
A959    1 0609  
A960    1 0787  
A961    1 0787  
A962    1 07889 
A968    1 0787  
A969    1 0787  
A980    1 0650  
A981    1 0651  
A982    1 0652  
A983    1 07889 
A984    1 07889 
A985    1 0786  
A988    1 0653  
A99     1 0659  
B000    1 0540  
B001    1 05473 
B002    1 0542  
B003    1 05472 
B004    1 0543  
B0050   1 05440 
B0051   1 05444 
B0052   1 05443 
B0053   1 05449 
B0059   1 05449 
B007    1 0545  
B0081   1 05471 
B0082   1 05474 
B0089   1 05479 
B009    1 0549  
B010    1 0527  
B0111   1 0520  
B0112   1 0522  
B012    1 0521  
B0181   1 0527  
B0189   1 0527  
B019    1 0529  
B020    1 05319 
B021    1 0530  
B0221   1 05311 
B0222   1 05312 
B0223   1 05313 
B0224   1 05314 
B0229   1 05319 
B0230   1 05329 
B0231   1 05329 
B0232   1 05322 
B0233   1 05321 
B0234   1 05329 
B0239   1 05329 
B027    1 0538  
B028    1 05379 
B029    1 0539  
B03     1 0509  
B04     1 05901 
B050    1 0550  
B051    1 05579 
B052    1 0551  
B053    1 0552  
B054    1 05579 
B0581   1 05571 
B0589   1 05579 
B059    1 0559  
B0600   1 05600 
B0601   1 05601 
B0602   1 05609 
B0609   1 05609 
B0681   1 05679 
B0682   1 05671 
B0689   1 05679 
B069    1 0569  
B070    1 07812 
B078    1 07819 
B079    1 07810 
B08010  1 05101 
B08011  1 05102 
B0802   1 0512  
B0803   1 0511  
B0804   1 0519  
B0809   1 05909 
B081    1 0780  
B0820   1 05810 
